review_threshold,block_threshold,expected_cost,review_rate,block_rate,fraud_dollar_capture,fraud_dollars_captured,feasible
0.0,8.084074373484237e-05,1172870.0,0.5754683674050453,0.42453163259495474,1.0,253504.74,False
0.0,0.00017129153819801302,1016294.23,0.6646660212971927,0.33533397870280734,0.999943866927301,253490.51,False
0.0,0.00032224800206238723,798282.954,0.7888275155173395,0.21117248448266043,0.9999291768666732,253486.786,False
0.0,0.0005125576627370579,617239.9380000001,0.8921359831444678,0.10786401685553214,0.9992310281851141,253309.80200000003,False
0.0,0.000936830835117773,594854.21,0.9049029098570697,0.09509709014293036,0.9991944529321228,253300.53000000003,False
0.0,0.005172413793103448,508288.75,0.9544103410967485,0.04558965890325152,0.9986045625813545,253150.99,False
0.0,0.01,491518.85,0.9643642161608109,0.03563578383918911,0.9970854588359966,252765.89,False
0.0,0.026217228464419477,469940.456,0.9771425317464837,0.022857468253516314,0.9953631794024839,252329.284,False
0.0,0.050833333333333335,461714.78,0.9823358578668641,0.017664142133135927,0.9933146023226234,251809.96000000002,False
0.0,0.09166666666666666,456930.798,0.9856386310574569,0.014361368942543135,0.9912790664190344,251293.94200000004,False
0.0,0.1325,456049.45,0.9865155742839246,0.013484425716075395,0.9897656745984317,250910.29,False
0.0,0.17333333333333334,454975.758,0.9874380730026764,0.012561926997323615,0.988399593632845,250563.98200000002,False
0.0,0.21416666666666667,453248.348,0.9902966801434998,0.009703319856500199,0.9794546326826078,248296.392,False
0.0,0.255,453307.124,0.9903194578896418,0.00968054211035818,0.979163608538444,248222.616,False
0.0,0.29583333333333334,456244.838,0.9938044530493708,0.006195546950629236,0.9506327258417339,240989.902,False
0.0,0.3,456244.838,0.9938044530493708,0.006195546950629236,0.9506327258417339,240989.902,False
0.0,0.33666666666666667,456802.638,0.9939638972723649,0.0060361027276351,0.9477223266121177,240252.10199999998,False
0.0,0.3775,456802.638,0.9939638972723649,0.0060361027276351,0.9477223266121177,240252.10199999998,False
0.0,0.41833333333333333,465958.796,0.9959000056944365,0.004099994305563464,0.9057856038510366,229620.94400000002,False
0.0,0.45916666666666667,466165.004,0.9959113945675075,0.0040886054324924545,0.904991898770808,229419.736,False
0.0,0.4626865671641791,466165.004,0.9959113945675075,0.0040886054324924545,0.904991898770808,229419.736,False
0.0,0.5,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.5408333333333333,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.5816666666666667,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.6225,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.6633333333333333,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.7041666666666666,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.745,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.75,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.7858333333333334,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.8266666666666667,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.8674999999999999,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.9083333333333333,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.9491666666666667,489725.948,1.0,0.0,0.8,202803.79200000002,False
0.0,0.99,489725.948,1.0,0.0,0.8,202803.79200000002,False
8.084074373484237e-05,0.00017129153819801302,763649.23,0.08919765389214737,0.33533397870280734,0.999943866927301,253490.51,False
8.084074373484237e-05,0.00032224800206238723,545637.954,0.21335914811229428,0.21117248448266043,0.9999291768666732,253486.786,False
8.084074373484237e-05,0.0005125576627370579,364594.93799999997,0.3166676157394226,0.10786401685553214,0.9992310281851141,253309.80200000003,False
8.084074373484237e-05,0.000936830835117773,342209.20999999996,0.32943454245202436,0.09509709014293036,0.9991944529321228,253300.53000000003,False
8.084074373484237e-05,0.005172413793103448,255643.75,0.3789419736917032,0.04558965890325152,0.9986045625813545,253150.99,False
